id,ad_id,session_id,user_ip,timestamp
1,2,43d466056dc87ccd3fa3a8be03cc0113,89.1.143.3,1213954147
2,2,530b2953e46fab77911b102d44c2391d,78.139.137.21,1213954157
3,1,530b2953e46fab77911b102d44c2391d,78.139.137.21,1213954179
4,2,530b2953e46fab77911b102d44c2391d,78.139.137.21,1213954184
5,1,530b2953e46fab77911b102d44c2391d,78.139.137.21,1213954189
6,2,82f6e7adb5766222bb230961ed8ddfbd,82.81.134.40,1213954241
7,1,8e0acb617335a3e14bcfdab831fcc0e6,89.138.12.229,1213954306
8,1,07b9bf398501ee437bdfd9f1bbe1994a,89.1.22.104,1213954330
9,1,61e51cb43c06ebaa40233c753e2613ef,80.178.114.114,1213954345
10,2,21f5976fae677a24f72b7f633f946b53,67.195.37.164,1213954353
11,1,530b2953e46fab77911b102d44c2391d,78.139.137.21,1213954350
12,1,3fda154ac290a41bf30e4862d2905f2c,85.250.183.57,1213954653
13,1,3fda154ac290a41bf30e4862d2905f2c,85.250.183.57,1213954680
14,1,d7f842872b1f3c5b70ecff599a60ebc6,89.138.182.207,1213954687
15,1,530b2953e46fab77911b102d44c2391d,78.139.137.21,1213954847
16,2,8ccd44c9efd98ac9e9550408e3685563,74.6.22.188,1213954905
17,1,43d466056dc87ccd3fa3a8be03cc0113,89.1.143.3,1213954915
18,1,43d466056dc87ccd3fa3a8be03cc0113,89.1.143.3,1213954936
19,2,d8fefeeed9260e1ca72e458b90d63c64,84.109.110.204,1213955127
20,1,28ac1e550564e400e00d75770ecffe32,74.6.22.188,1213955154
21,1,708233b21df5ee39b6a6396cfb494b4e,79.183.159.133,1213955526
22,2,3fda154ac290a41bf30e4862d2905f2c,85.250.183.57,1213956336
23,2,cbc31197f9d3112c7d22c1bcef077bb1,79.178.126.151,1213956384
24,1,4b3484a693e6e2837d0a3169d1a361be,79.177.144.206,1213956379
25,1,4b3484a693e6e2837d0a3169d1a361be,79.177.144.206,1213956425
26,1,4b3484a693e6e2837d0a3169d1a361be,79.177.144.206,1213956441
27,2,fae91c72de286c8ee2d14323d3c5d10c,66.249.66.44,1213956557
28,1,2525f1b0d397f5a29fa40b6ce6cabf57,87.70.122.51,1213956651
29,2,928786cb13bd1205913ba52b24f14e22,87.68.78.72,1213956784
30,2,39bddab81aa42a711e93914cfcf69a89,82.166.191.199,1213956929
31,2,a04ba259d98a0505f41893849b1e71f8,80.179.63.61,1213956999
32,1,e28dc04d617398cfea0158883f1f2ae4,89.139.170.6,1213957184
33,2,9a394103f88a79af8fa1ae97df562062,79.180.127.199,1213957262
